dimension,auc_mean,auc_std,estimator
96,0.8616748366013072,0.041861707101671156,"RandomForestClassifier(ccp_alpha=6.15903905801618e-07, max_depth=150,
                       max_leaf_nodes=50, n_estimators=1000, random_state=42)"
97,0.8615196078431373,0.034398238594485896,"RandomForestClassifier(ccp_alpha=2.2608214937286765e-09, criterion='entropy',
                       max_depth=99, max_leaf_nodes=194, min_samples_split=4,
                       n_estimators=481, random_state=42)"
98,0.8642524509803922,0.041580362247748394,"RandomForestClassifier(ccp_alpha=1.5733602355972936e-09, criterion='entropy',
                       max_depth=150, max_leaf_nodes=200, n_estimators=388,
                       random_state=42)"
99,0.8735906862745099,0.025893094704864086,"RandomForestClassifier(ccp_alpha=4.1465554010097135e-08, criterion='entropy',
                       max_depth=9, max_leaf_nodes=57, n_estimators=53,
                       random_state=42)"
100,0.860253267973856,0.03407923006283189,"RandomForestClassifier(ccp_alpha=0.006175702325567058, criterion='entropy',
                       max_depth=117, max_leaf_nodes=50, min_samples_split=17,
                       n_estimators=1000, random_state=42)"
101,0.8594281045751633,0.03843433195221555,"RandomForestClassifier(ccp_alpha=1.2264596177415986e-07, max_depth=76,
                       max_leaf_nodes=50, min_samples_split=14,
                       n_estimators=1000, random_state=42)"
102,0.8629983660130719,0.04656887756497446,"RandomForestClassifier(ccp_alpha=2.2027579662321516e-10, max_depth=116,
                       max_leaf_nodes=195, n_estimators=1000, random_state=42)"
103,0.8644526143790848,0.047430976856618394,"RandomForestClassifier(ccp_alpha=5.948307194311882e-05, max_depth=147,
                       max_leaf_nodes=95, n_estimators=881, random_state=42)"
104,0.862830882352941,0.04749261939985318,"RandomForestClassifier(ccp_alpha=0.005467560486512211, max_depth=150,
                       max_leaf_nodes=50, n_estimators=294, random_state=42)"
105,0.8714930555555556,0.02116421144834718,"RandomForestClassifier(ccp_alpha=3.982282831655041e-05, max_depth=150,
                       max_leaf_nodes=200, n_estimators=128, random_state=42)"
106,0.8657638888888888,0.05088060705994518,"RandomForestClassifier(ccp_alpha=3.020075740816853e-09, max_depth=109,
                       max_leaf_nodes=140, min_samples_split=19,
                       n_estimators=166, random_state=42)"
107,0.8654656862745098,0.03741946101605799,"RandomForestClassifier(ccp_alpha=1.1294043897053586e-07, criterion='entropy',
                       max_depth=150, max_leaf_nodes=200, n_estimators=262,
                       random_state=42)"
108,0.87109477124183,0.04104689401042353,"RandomForestClassifier(ccp_alpha=5.528665425991487e-07, max_depth=150,
                       max_leaf_nodes=200, n_estimators=1000, random_state=42)"
109,0.8686437908496731,0.040534368099469496,"RandomForestClassifier(ccp_alpha=3.351102332204124e-05, criterion='entropy',
                       max_depth=150, max_leaf_nodes=200, n_estimators=1000,
                       random_state=42)"
110,0.8626838235294118,0.04265359759585331,"RandomForestClassifier(ccp_alpha=1.1828796234603154e-07, max_depth=150,
                       max_leaf_nodes=200, n_estimators=1000, random_state=42)"
111,0.863047385620915,0.040008680448026246,"RandomForestClassifier(ccp_alpha=3.874944588032377e-06, criterion='entropy',
                       max_depth=150, max_leaf_nodes=50, n_estimators=1000,
                       random_state=42)"
112,0.8637459150326798,0.04355832373942006,"RandomForestClassifier(ccp_alpha=0.0006719983503204557, max_depth=150,
                       max_leaf_nodes=50, n_estimators=1000, random_state=42)"
113,0.8661356209150327,0.05061018986834542,"RandomForestClassifier(ccp_alpha=1.1518576604778108e-07, max_depth=150,
                       max_leaf_nodes=50, n_estimators=465, random_state=42)"
114,0.8710580065359477,0.04542329828383388,"RandomForestClassifier(ccp_alpha=1.1870176677098403e-05, criterion='entropy',
                       max_depth=10, max_leaf_nodes=50, n_estimators=148,
                       random_state=42)"
115,0.8682271241830065,0.04454305684059546,"RandomForestClassifier(ccp_alpha=1.0058315352458814e-10, max_depth=150,
                       max_leaf_nodes=131, n_estimators=1000, random_state=42)"
116,0.8740931372549019,0.041329525592460045,"RandomForestClassifier(ccp_alpha=0.002780644874485779, max_depth=150,
                       max_leaf_nodes=149, min_samples_split=7,
                       n_estimators=305, random_state=42)"
117,0.8769893790849673,0.044113187599901,"RandomForestClassifier(ccp_alpha=6.367524584426101e-08, max_depth=150,
                       max_leaf_nodes=200, n_estimators=267, random_state=42)"
118,0.8692116013071896,0.04512056769669306,"RandomForestClassifier(ccp_alpha=0.0002783020759217666, max_depth=150,
                       max_leaf_nodes=200, min_samples_split=10,
                       n_estimators=285, random_state=42)"
